,Alpha,Delta,Beta,Gamma,Label,channel
104,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
105,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
106,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
107,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
108,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
109,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
110,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
111,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
112,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
113,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
114,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
115,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
116,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
117,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
118,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
119,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
120,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
121,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
122,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
123,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
124,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
125,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
126,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
127,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
128,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
129,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
130,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
131,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
132,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
133,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
134,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
135,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
136,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
137,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
138,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
139,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
140,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
141,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
142,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
143,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
144,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
145,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
146,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
147,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
148,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
149,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
150,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
151,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
152,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
153,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
154,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
155,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
156,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
157,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
158,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
159,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
160,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
161,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
162,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
163,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
164,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
165,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
166,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
167,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
168,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
169,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
170,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
171,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
172,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
173,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
174,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
175,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
176,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
177,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
178,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
179,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
180,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
181,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
182,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
183,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
184,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
185,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
186,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
187,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
188,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
189,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
190,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
191,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
192,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
193,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
194,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
195,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
196,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
197,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
198,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
199,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
200,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
201,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
202,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
