,Alpha,Delta,Beta,Gamma,Label,channel
253,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
254,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
255,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
256,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
257,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
258,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
259,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
260,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
261,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
262,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
263,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
264,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
265,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
266,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
267,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
268,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
269,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
270,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
271,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
272,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
273,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
274,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
275,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
276,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
277,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
278,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
279,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
280,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
281,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
282,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
283,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
284,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
285,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
286,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
287,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
288,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
289,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
290,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
291,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
292,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
